"filename", "language", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 172, 0, 0, 0, 14, 186
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 14, 140
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\J4Y\Desktop\kamusinde\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Account.model.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 7, 6, 50
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Attendance.model.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 2, 5, 45
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Class.model.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Course.model.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 2, 6, 47
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\DisciplinaryRecord.model.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 2, 5, 58
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Event.model.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 2, 5, 64
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Exam.model.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 4, 92
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\ExamResult.model.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Fee.model.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 2, 5, 63
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Grade.model.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Student.model.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 9, 7, 63
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\Teacher.model.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 2, 6, 56
"c:\Users\J4Y\Desktop\kamusinde\src\database\models\User.model.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 8, 7, 52
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\attendance.actions.ts", "TypeScript", 611, 0, 0, 0, 0, 0, 0, 63, 101, 775
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\auth.actions.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 57, 23, 180
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\class.actions.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 0, 59, 79, 468
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\course.actions.ts", "TypeScript", 331, 0, 0, 0, 0, 0, 0, 27, 51, 409
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\disciplinary.actions.ts", "TypeScript", 198, 0, 0, 0, 0, 0, 0, 20, 32, 250
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\exam.actions.ts", "TypeScript", 389, 0, 0, 0, 0, 0, 0, 29, 78, 496
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\fee.actions.ts", "TypeScript", 225, 0, 0, 0, 0, 0, 0, 23, 37, 285
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\grade.actions.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 17, 33, 233
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\student.actions.ts", "TypeScript", 376, 0, 0, 0, 0, 0, 0, 36, 61, 473
"c:\Users\J4Y\Desktop\kamusinde\src\lib\action\teacher.actions.ts", "TypeScript", 367, 0, 0, 0, 0, 0, 0, 33, 59, 459
"c:\Users\J4Y\Desktop\kamusinde\src\lib\auth.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 26, 17, 168
"c:\Users\J4Y\Desktop\kamusinde\src\lib\mongoose.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 39, 23, 152
"c:\Users\J4Y\Desktop\kamusinde\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\J4Y\Desktop\kamusinde\src\types\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\J4Y\Desktop\kamusinde\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"Total", "-", 4148, 4, 5458, 23, 14623, 34, 117, 788, 1908, 27103
